model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,246.4,63.6,-224.31,6.98,0.42,2798
dqn,TRAIN,1,214.1,82.8,-170.76,5.54,0.39,2796
dqn,TRAIN,2,199.7,78.2,-145.79,4.72,0.37,2818
dqn,TRAIN,3,191.7,70.9,-137.58,4.42,0.37,2818
dqn,TRAIN,4,185.8,66.8,-132.97,4.28,0.35,2826
dqn,TRAIN,5,186.2,63.9,-132.83,4.29,0.35,2849
dqn,TRAIN,6,186.8,61.1,-133.37,4.33,0.35,2839
dqn,TRAIN,7,185.1,61.4,-127.19,4.13,0.35,2844
dqn,TRAIN,8,175.6,60.2,-119.12,3.86,0.34,2841
dqn,TRAIN,9,182.0,60.9,-123.45,4.06,0.35,2834
dqn,TRAIN,10,182.5,59.0,-124.82,4.05,0.35,2843
dqn,TRAIN,11,186.8,57.2,-128.48,4.19,0.36,2831
dqn,TRAIN,12,182.0,58.6,-123.98,4.07,0.35,2846
dqn,TRAIN,13,185.8,57.9,-127.91,4.20,0.35,2843
dqn,TRAIN,14,181.8,57.7,-124.49,4.10,0.35,2835
dqn,TRAIN,15,179.0,54.7,-118.68,3.86,0.35,2842
dqn,TRAIN,16,179.1,53.0,-120.96,3.94,0.35,2856
dqn,TRAIN,17,177.4,52.8,-118.25,3.79,0.35,2831
dqn,TRAIN,18,180.7,50.7,-125.52,4.06,0.35,2836
dqn,TRAIN,19,177.5,52.2,-117.94,3.79,0.35,2857
