model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,172.2,nan,-7.78,2.60,0.31,1909
mplight,TRAIN,1,165.1,0.9,-7.11,2.42,0.30,1897
mplight,TRAIN,2,174.3,0.9,-7.93,2.67,0.32,1894
mplight,TRAIN,3,167.5,0.8,-7.24,2.47,0.30,1900
mplight,TRAIN,4,168.5,0.9,-7.27,2.48,0.30,1900
mplight,TRAIN,5,167.3,0.8,-7.22,2.46,0.30,1897
mplight,TRAIN,6,164.4,0.8,-6.94,2.39,0.29,1920
mplight,TRAIN,7,168.8,0.8,-7.32,2.50,0.31,1906
mplight,TRAIN,8,176.7,0.8,-8.02,2.73,0.31,1899
mplight,TRAIN,9,159.5,0.8,-6.61,2.28,0.29,1911
mplight,TRAIN,10,157.4,0.8,-6.58,2.26,0.29,1915
mplight,TRAIN,11,163.1,0.7,-6.80,2.33,0.30,1907
mplight,TRAIN,12,168.0,0.7,-7.12,2.46,0.30,1906
mplight,TRAIN,13,160.9,0.7,-6.72,2.32,0.29,1919
mplight,TRAIN,14,164.2,0.6,-6.77,2.37,0.29,1909
mplight,TRAIN,15,164.2,0.6,-6.89,2.40,0.30,1904
mplight,TRAIN,16,162.1,0.6,-6.78,2.37,0.30,1915
mplight,TRAIN,17,158.7,0.5,-6.65,2.30,0.30,1912
mplight,TRAIN,18,167.8,0.5,-7.21,2.51,0.31,1897
mplight,TRAIN,19,160.6,0.6,-6.61,2.31,0.30,1899
