model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,0,847.8,1.9,-717.43,13.60,0.23,5093
colight,TRAIN,1,753.9,1.9,-740.81,13.85,0.24,5240
colight,TRAIN,2,830.7,1.8,-707.10,14.10,0.24,3801
colight,TRAIN,3,783.7,1.7,-714.39,13.96,0.24,3878
colight,TRAIN,4,717.4,2.2,-722.29,14.08,0.24,3521
colight,TRAIN,5,717.8,1.4,-691.45,13.89,0.24,3823
colight,TRAIN,6,724.8,1.2,-697.55,13.89,0.24,3727
colight,TRAIN,7,837.3,1.5,-695.14,13.88,0.24,3772
colight,TRAIN,8,769.9,1.2,-710.96,14.01,0.25,4715
colight,TRAIN,9,646.6,1.2,-646.28,12.66,0.24,5074
colight,TRAIN,10,590.9,1.7,-631.67,12.43,0.24,5415
colight,TRAIN,11,607.4,2.2,-634.16,12.53,0.24,5159
colight,TRAIN,12,639.7,1.8,-603.28,12.20,0.24,5356
colight,TRAIN,13,626.4,1.4,-601.25,12.41,0.24,5137
colight,TRAIN,14,636.6,1.3,-609.08,12.06,0.24,5400
colight,TRAIN,15,696.0,1.5,-661.03,12.66,0.24,4729
colight,TRAIN,16,759.6,1.5,-578.70,11.71,0.23,4846
colight,TRAIN,17,816.5,1.5,-661.54,12.74,0.23,4203
colight,TRAIN,18,669.3,1.5,-693.91,12.66,0.24,5205
colight,TRAIN,19,612.4,1.0,-664.83,12.68,0.24,4810
colight,TRAIN,20,646.4,1.0,-578.61,11.32,0.23,4768
colight,TRAIN,21,868.6,1.0,-662.24,12.52,0.24,4370
colight,TRAIN,22,654.7,1.0,-565.04,11.55,0.22,4350
colight,TRAIN,23,730.5,1.0,-559.47,12.09,0.22,4251
colight,TRAIN,24,666.7,1.1,-568.65,11.98,0.21,4419
colight,TRAIN,25,641.3,1.1,-517.32,10.88,0.22,5232
colight,TRAIN,26,665.2,1.0,-522.83,11.01,0.21,5272
colight,TRAIN,27,661.7,1.2,-578.05,11.22,0.22,5836
colight,TRAIN,28,638.9,1.2,-504.61,10.44,0.22,6009
colight,TRAIN,29,666.9,1.4,-548.97,11.07,0.21,5737
colight,TRAIN,30,577.6,1.4,-450.95,9.50,0.20,6534
colight,TRAIN,31,560.6,1.3,-513.39,10.55,0.21,5874
colight,TRAIN,32,555.4,1.1,-531.46,11.00,0.21,5779
colight,TRAIN,33,559.6,1.1,-520.70,10.86,0.22,5844
colight,TRAIN,34,680.3,1.2,-584.87,12.17,0.23,5145
colight,TRAIN,35,603.3,1.2,-517.15,10.95,0.21,5833
colight,TRAIN,36,569.8,1.1,-558.44,10.99,0.22,6215
colight,TRAIN,37,581.1,0.8,-497.65,10.40,0.21,6481
colight,TRAIN,38,544.9,0.8,-483.94,10.22,0.20,6892
colight,TRAIN,39,677.5,1.0,-619.60,11.59,0.22,5657
colight,TRAIN,40,612.3,1.0,-513.77,10.89,0.21,5436
colight,TRAIN,41,543.6,0.9,-476.22,10.08,0.19,6989
colight,TRAIN,42,525.4,0.9,-507.03,10.50,0.21,6429
colight,TRAIN,43,488.4,0.8,-646.22,11.84,0.22,5562
colight,TRAIN,44,518.9,0.8,-623.73,11.33,0.22,5701
colight,TRAIN,45,516.6,0.7,-505.14,9.90,0.20,6591
colight,TRAIN,46,534.0,1.0,-484.77,9.95,0.20,7060
colight,TRAIN,47,456.1,0.9,-455.87,9.31,0.20,7071
colight,TRAIN,48,469.9,0.8,-442.40,9.13,0.19,7202
colight,TRAIN,49,487.8,0.7,-471.68,9.33,0.20,7335
colight,TRAIN,50,470.3,0.7,-422.97,8.51,0.19,7647
colight,TRAIN,51,453.6,0.8,-412.36,8.46,0.18,7684
colight,TRAIN,52,469.2,0.7,-421.76,8.45,0.19,7522
colight,TRAIN,53,494.2,0.6,-421.14,8.84,0.19,6923
colight,TRAIN,54,444.3,0.6,-426.17,8.55,0.19,7820
