model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,591.9,40.7,-591.79,12.26,0.22,4202
dqn,TRAIN,1,479.1,56.0,-453.35,8.90,0.17,5369
dqn,TRAIN,2,441.8,51.3,-458.82,8.87,0.17,5347
dqn,TRAIN,3,421.3,47.3,-406.98,7.99,0.15,5691
dqn,TRAIN,4,398.8,44.8,-316.57,6.81,0.15,6142
dqn,TRAIN,5,377.7,43.6,-326.19,7.02,0.14,6091
dqn,TRAIN,6,383.7,40.1,-338.54,7.13,0.15,5951
dqn,TRAIN,7,362.7,39.3,-290.73,6.53,0.14,6267
dqn,TRAIN,8,381.4,37.0,-309.64,7.46,0.15,5757
dqn,TRAIN,9,389.0,35.6,-320.73,6.96,0.14,5965
