lane_id,queueing_time,queueing_length,timestep
-102818928#0_0,0.0,0.0,65160.0
-102818928#0_0,0.0,0.0,65520.0
-102818928#0_0,0.0,0.0,65880.0
-102818928#0_0,0.0,0.0,66240.0
-102818928#0_0,0.0,0.0,66600.0
-102818928#0_0,0.0,0.0,66960.0
-102818928#0_0,0.0,0.0,67320.0
-102818928#0_0,15.529411764705882,41.07823529411765,67680.0
-102818928#0_0,97.32592592592593,45.15825925925927,68040.0
-102818928#0_0,11.5,30.737083333333334,68400.0
-102818928#1_0,0.0,0.0,65160.0
-102818928#1_0,3.5,1.49,65520.0
-102818928#1_0,0.0,0.0,65880.0
-102818928#1_0,0.0,0.0,66240.0
-102818928#1_0,0.0,0.0,66600.0
-102818928#1_0,0.0,0.0,66960.0
-102818928#1_0,0.0,0.0,67320.0
-102818928#1_0,0.0,0.0,67680.0
-102818928#1_0,0.0,0.0,68040.0
-102818928#1_0,0.3333333333333333,0.58,68400.0
-102818928#1_1,0.0,0.0,65160.0
-102818928#1_1,0.0,0.0,65520.0
-102818928#1_1,0.0,0.0,65880.0
-102818928#1_1,0.0,0.0,66240.0
-102818928#1_1,0.0,0.0,66600.0
-102818928#1_1,0.0,0.0,66960.0
-102818928#1_1,0.0,0.0,67320.0
-102818928#1_1,0.0,0.0,67680.0
-102818928#1_1,5.6875,4.3149999999999995,68040.0
-102818928#1_1,0.0,0.0,68400.0
-103053774#0_0,0.0,0.0,65160.0
-103053774#0_0,0.0,0.0,65520.0
-103053774#0_0,0.0,0.0,65880.0
-103053774#0_0,0.0,0.0,66240.0
-103053774#0_0,0.0,0.0,66600.0
-103053774#0_0,0.3333333333333333,1.67,66960.0
-103053774#0_0,0.0,0.0,67320.0
-103053774#0_0,0.3333333333333333,1.6666666666666667,67680.0
-103053774#0_0,6.0,4.615384615384615,68040.0
-103053774#0_0,0.6,2.0,68400.0
-103512657_0,0.0,0.0,65160.0
-103512657_0,26.78125,5.74025,65520.0
-103512657_0,134.36170212765958,5.881063829787234,65880.0
-103512657_0,1.0,4.01,66240.0
-103512657_0,13.0,5.778148148148148,66600.0
-103512657_0,0.0,0.0,66960.0
-103512657_0,27.404040404040405,4.896262626262627,67320.0
-103512657_0,162.75103734439833,11.865933609958507,67680.0
-103512657_0,116.0,5.5362660944206015,68040.0
-103512657_0,161.11731843575419,12.727430167597765,68400.0
-103512667#0_1,0.0,0.0,65160.0
-103512667#0_1,0.0,0.0,65520.0
-103512667#0_1,0.0,0.0,65880.0
-103512667#0_1,0.0,0.0,66240.0
-103512667#0_1,0.0,0.0,66600.0
-103512667#0_1,0.0,0.0,66960.0
-103512667#0_1,0.0,0.0,67320.0
-103512667#0_1,0.0,0.0,67680.0
-103512667#0_1,0.0,0.0,68040.0
-103512667#0_1,7.555555555555555,11.586666666666666,68400.0
-103512667#2_1,0.0,0.0,65160.0
-103512667#2_1,0.0,0.0,65520.0
-103512667#2_1,0.0,0.0,65880.0
-103512667#2_1,0.0,0.0,66240.0
-103512667#2_1,0.0,0.0,66600.0
-103512667#2_1,0.0,0.0,66960.0
-103512667#2_1,0.0,0.0,67320.0
-103512667#2_1,1.0,3.4,67680.0
-103512667#2_1,0.0,0.0,68040.0
-103512667#2_1,3.0,4.371428571428571,68400.0
-103678458#0_0,0.0,0.0,65160.0
-103678458#0_0,0.0,0.0,65520.0
-103678458#0_0,0.0,0.0,65880.0
-103678458#0_0,0.0,0.0,66240.0
-103678458#0_0,0.0,0.0,66600.0
-103678458#0_0,0.0,0.0,66960.0
-103678458#0_0,0.0,0.0,67320.0
-103678458#0_0,0.0,0.0,67680.0
-103678458#0_0,0.0,0.0,68040.0
-103678458#0_0,0.0,0.0,68400.0
-103686124_1,0.0,0.0,65160.0
-103686124_1,0.0,0.0,65520.0
-103686124_1,0.0,0.0,65880.0
-103686124_1,0.0,0.0,66240.0
-103686124_1,0.0,0.0,66600.0
-103686124_1,0.0,0.0,66960.0
-103686124_1,0.0,0.0,67320.0
-103686124_1,0.0,0.0,67680.0
-103686124_1,0.0,0.0,68040.0
-103686124_1,0.0,0.0,68400.0
-103687099#0_1,0.0,0.0,65160.0
-103687099#0_1,0.0,0.0,65520.0
-103687099#0_1,0.0,0.0,65880.0
-103687099#0_1,0.0,0.0,66240.0
-103687099#0_1,0.0,0.0,66600.0
-103687099#0_1,0.0,0.0,66960.0
-103687099#0_1,1.0,1.71,67320.0
-103687099#0_1,0.0,0.0,67680.0
-103687099#0_1,0.0,0.0,68040.0
-103687099#0_1,0.0,0.0,68400.0
-103718186_0,48.139240506329116,5.9244936708860765,65160.0
-103718186_0,130.84357541899442,12.469385474860335,65520.0
-103718186_0,139.39664804469274,13.38290502793296,65880.0
-103718186_0,287.56666666666666,13.5,66240.0
-103718186_0,646.5,13.5,66600.0
-103718186_0,1006.5,13.5,66960.0
-103718186_0,1366.5,13.5,67320.0
-103718186_0,1726.5,13.5,67680.0
-103718186_0,2086.5,13.5,68040.0
-103718186_0,510.89106145251395,13.472513966480447,68400.0
-103718186_1,0.0,0.0,65160.0
-103718186_1,0.0,0.0,65520.0
-103718186_1,0.0,0.0,65880.0
-103718186_1,71.48089171974522,12.459044585987261,66240.0
-103718186_1,67.54415954415954,8.713903133903134,66600.0
-103718186_1,77.2542372881356,8.788644067796609,66960.0
-103718186_1,75.23011363636364,10.001761363636364,67320.0
-103718186_1,75.90223463687151,10.738826815642458,67680.0
-103718186_1,93.25412541254126,10.287458745874588,68040.0
-103718186_1,132.39044943820224,9.59623595505618,68400.0
-10425610#1_1,23.52,2.4968,65160.0
-10425610#1_1,24.25,1.955,65520.0
-10425610#1_1,0.0,0.0,65880.0
-10425610#1_1,0.0,0.0,66240.0
-10425610#1_1,0.0,0.0,66600.0
-10425610#1_1,0.0,0.0,66960.0
-10425610#1_1,0.0,0.0,67320.0
-10425610#1_1,0.0,0.0,67680.0
-10425610#1_1,0.0,0.0,68040.0
-10425610#1_1,0.0,0.0,68400.0
-10425610#1_2,68.02127659574468,19.129929078014186,65160.0
-10425610#1_2,151.01388888888889,29.326222222222224,65520.0
-10425610#1_2,165.1448467966574,33.16958217270195,65880.0
-10425610#1_2,157.56160458452723,26.450573065902578,66240.0
-10425610#1_2,191.51388888888889,29.5,66600.0
-10425610#1_2,342.4305949008499,29.717252124645892,66960.0
-10425610#1_2,149.81666666666666,29.785777777777774,67320.0
-10425610#1_2,158.45915492957747,29.473295774647887,67680.0
-10425610#1_2,168.68523676880224,29.513091922005568,68040.0
-10425610#1_2,138.06798866855524,31.296940509915014,68400.0
-10425610#1_3,75.00653594771242,18.176601307189543,65160.0
-10425610#1_3,155.3008356545961,29.01949860724234,65520.0
-10425610#1_3,164.63888888888889,30.153083333333335,65880.0
-10425610#1_3,160.3361111111111,27.907805555555555,66240.0
-10425610#1_3,134.37777777777777,28.42361111111111,66600.0
-10425610#1_3,141.9111111111111,27.81141666666667,66960.0
-10425610#1_3,151.625,28.487611111111107,67320.0
-10425610#1_3,159.29526462395543,29.613398328690806,67680.0
-10425610#1_3,413.8611111111111,28.72608333333333,68040.0
-10425610#1_3,144.62777777777777,27.721861111111114,68400.0
-10425611#0_0,6.228571428571429,4.973714285714286,65160.0
-10425611#0_0,5.2988505747126435,5.243103448275861,65520.0
-10425611#0_0,12.52892561983471,9.066611570247934,65880.0
-10425611#0_0,8.239583333333334,5.565416666666667,66240.0
-10425611#0_0,5.5256410256410255,5.079358974358974,66600.0
-10425611#0_0,6.183098591549296,5.762394366197183,66960.0
-10425611#0_0,6.18,5.083600000000001,67320.0
-10425611#0_0,11.709401709401709,6.372991452991453,67680.0
-10425611#0_0,3.933333333333333,4.668666666666667,68040.0
-10425611#0_0,3.225,4.27725,68400.0
-10425611#0_1,5.076923076923077,5.077692307692308,65160.0
-10425611#0_1,2.411764705882353,4.416764705882352,65520.0
-10425611#0_1,9.4375,5.282916666666666,65880.0
-10425611#0_1,6.586206896551724,5.408275862068965,66240.0
-10425611#0_1,5.769230769230769,6.495,66600.0
-10425611#0_1,6.0,6.9366666666666665,66960.0
-10425611#0_1,2.090909090909091,5.549696969696969,67320.0
-10425611#0_1,6.380952380952381,6.098571428571428,67680.0
-10425611#0_1,4.190476190476191,4.354285714285714,68040.0
-10425611#0_1,0.4,2.416,68400.0
-11014139#1_1,86.51685393258427,26.379325842696627,65160.0
-11014139#1_1,152.42415730337078,49.965983146067416,65520.0
-11014139#1_1,125.4593837535014,50.284033613445374,65880.0
-11014139#1_1,139.6750700280112,54.401652661064425,66240.0
-11014139#1_1,149.4638888888889,50.36505555555555,66600.0
-11014139#1_1,157.86944444444444,50.449194444444444,66960.0
-11014139#1_1,166.28333333333333,50.343805555555555,67320.0
-11014139#1_1,105.05882352941177,49.254873949579824,67680.0
-11014139#1_1,161.675,50.55327777777778,68040.0
-11014139#1_1,170.11666666666667,50.364694444444446,68400.0
-11014139#1_2,38.0126582278481,16.957088607594937,65160.0
-11014139#1_2,130.70704225352114,22.218845070422535,65520.0
-11014139#1_2,123.59467455621302,18.855976331360946,65880.0
-11014139#1_2,141.12605042016807,49.29156862745098,66240.0
-11014139#1_2,149.76111111111112,50.260222222222225,66600.0
-11014139#1_2,158.1611111111111,50.343888888888884,66960.0
-11014139#1_2,166.575,50.32344444444444,67320.0
-11014139#1_2,102.83519553072625,35.64938547486033,67680.0
-11014139#1_2,159.0638888888889,27.96736111111111,68040.0
-11014139#1_2,167.45277777777778,25.780194444444447,68400.0
-115082348_1,0.0,0.0,65160.0
-115082348_1,78.0,3.8198064516129033,65520.0
-115082348_1,154.98055555555555,6.640694444444445,65880.0
-115082348_1,164.33333333333334,6.727444444444445,66240.0
-115082348_1,155.79108635097492,6.710640668523676,66600.0
-115082348_1,134.40833333333333,6.720305555555555,66960.0
-115082348_1,142.81666666666666,6.726333333333334,67320.0
-115082348_1,151.73888888888888,6.7395,67680.0
-115082348_1,160.44722222222222,6.733249999999999,68040.0
-115082348_1,170.45961002785515,6.765598885793872,68400.0
-115082348_2,149.5,6.0,65160.0
-115082348_2,143.34745762711864,5.932344632768362,65520.0
-115082348_2,128.02549575070822,5.932067988668555,65880.0
-115082348_2,135.4858757062147,5.9157627118644065,66240.0
-115082348_2,149.6629213483146,5.9663483146067415,66600.0
-115082348_2,163.73949579831933,5.966470588235294,66960.0
-115082348_2,158.06515580736544,5.93215297450425,67320.0
-115082348_2,121.00840336134453,5.95781512605042,67680.0
-115082348_2,135.35380116959064,5.964941520467836,68040.0
-115082348_2,145.0754189944134,5.932988826815643,68400.0
-115082348_3,139.1038062283737,5.979377162629758,65160.0
-115082348_3,136.39943342776203,5.966175637393768,65520.0
-115082348_3,145.37222222222223,6.0,65880.0
-115082348_3,154.15,6.0,66240.0
-115082348_3,157.1904761904762,5.966554621848739,66600.0
-115082348_3,159.78370786516854,5.966320224719102,66960.0
-115082348_3,165.32865168539325,5.983174157303371,67320.0
-115082348_3,142.675,6.000055555555556,67680.0
-115082348_3,147.08403361344537,5.966386554621849,68040.0
-115082348_3,151.47353760445682,6.0,68400.0
-115881035#1_0,0.0,0.0,65160.0
-115881035#1_0,0.0,0.0,65520.0
-115881035#1_0,0.0,0.0,65880.0
-115881035#1_0,0.0,0.0,66240.0
-115881035#1_0,0.0,0.0,66600.0
-115881035#1_0,0.0,0.0,66960.0
-115881035#1_0,0.0,0.0,67320.0
-115881035#1_0,0.0,0.0,67680.0
-115881035#1_0,0.0,0.0,68040.0
-115881035#1_0,0.0,0.0,68400.0
-115881035#7_0,0.0,0.0,65160.0
-115881035#7_0,0.0,0.0,65520.0
-115881035#7_0,0.0,0.0,65880.0
-115881035#7_0,0.0,0.0,66240.0
-115881035#7_0,0.0,0.0,66600.0
-115881035#7_0,0.0,0.0,66960.0
-115881035#7_0,0.0,0.0,67320.0
-115881035#7_0,0.0,0.0,67680.0
-115881035#7_0,0.0,0.0,68040.0
-115881035#7_0,0.0,0.0,68400.0
-115881043#0_1,0.0,0.0,65160.0
-115881043#0_1,0.0,0.0,65520.0
-115881043#0_1,0.0,0.0,65880.0
-115881043#0_1,0.0,0.0,66240.0
-115881043#0_1,0.0,0.0,66600.0
-115881043#0_1,0.0,0.0,66960.0
-115881043#0_1,0.0,0.0,67320.0
-115881043#0_1,0.0,0.0,67680.0
-115881043#0_1,0.0,0.0,68040.0
-115881043#0_1,0.0,0.0,68400.0
-116765457#1_2,0.0,0.0,65160.0
-116765457#1_2,0.0,0.0,65520.0
-116765457#1_2,0.0,0.0,65880.0
-116765457#1_2,0.0,0.0,66240.0
-116765457#1_2,4.0,6.0,66600.0
-116765457#1_2,0.0,0.0,66960.0
-116765457#1_2,131.5,6.005,67320.0
-116765457#1_2,0.0,0.0,67680.0
-116765457#1_2,0.0,0.0,68040.0
-116765457#1_2,0.0,0.0,68400.0
-116765457#1_3,0.0,0.0,65160.0
-116765457#1_3,0.0,0.0,65520.0
-116765457#1_3,0.0,0.0,65880.0
-116765457#1_3,0.0,0.0,66240.0
-116765457#1_3,67.45833333333333,5.888981481481482,66600.0
-116765457#1_3,110.42089552238807,5.964417910447761,66960.0
-116765457#1_3,143.06521739130434,5.3478260869565215,67320.0
-116765457#1_3,155.5,6.0,67680.0
-116765457#1_3,58.0,5.948888888888889,68040.0
-116765457#1_3,201.5,6.0,68400.0
-118004624#1_0,0.0,0.0,65160.0
-118004624#1_0,0.0,0.0,65520.0
-118004624#1_0,0.0,0.0,65880.0
-118004624#1_0,0.0,0.0,66240.0
-118004624#1_0,0.0,0.0,66600.0
-118004624#1_0,0.0,0.0,66960.0
-118004624#1_0,0.0,0.0,67320.0
-118004624#1_0,0.0,0.0,67680.0
-118004624#1_0,0.0,0.0,68040.0
-118004624#1_0,0.0,0.0,68400.0
-118004640#1.47_1,0.0,0.0,65160.0
-118004640#1.47_1,0.0,0.0,65520.0
-118004640#1.47_1,0.0,0.0,65880.0
-118004640#1.47_1,0.0,0.0,66240.0
-118004640#1.47_1,0.0,0.0,66600.0
-118004640#1.47_1,0.0,0.0,66960.0
-118004640#1.47_1,0.0,0.0,67320.0
-118004640#1.47_1,76.01910828025478,5.0025477707006365,67680.0
-118004640#1.47_1,0.0,0.0,68040.0
-118004640#1.47_1,0.0,0.0,68400.0
-130996521#1_1,5.32,5.0687999999999995,65160.0
-130996521#1_1,4.136363636363637,7.845454545454545,65520.0
-130996521#1_1,8.948275862068966,8.846896551724138,65880.0
-130996521#1_1,132.79320113314446,34.14767705382436,66240.0
-130996521#1_1,102.66666666666667,11.750277777777777,66600.0
-130996521#1_1,162.15555555555557,31.76597222222222,66960.0
-130996521#1_1,167.4361111111111,69.18283333333333,67320.0
-130996521#1_1,142.36666666666667,77.03475,67680.0
-130996521#1_1,150.675,80.04522222222222,68040.0
-130996521#1_1,157.71666666666667,82.11127777777779,68400.0
-130996521#2_1,0.0,0.0,65160.0
-130996521#2_1,0.0,0.0,65520.0
-130996521#2_1,0.0,0.0,65880.0
-130996521#2_1,0.0,0.0,66240.0
-130996521#2_1,0.0,0.0,66600.0
-130996521#2_1,0.0,0.0,66960.0
-130996521#2_1,38.5,5.923076923076923,67320.0
-130996521#2_1,99.22635135135135,8.123918918918918,67680.0
-130996521#2_1,140.13333333333333,36.02786111111111,68040.0
-130996521#2_1,151.20833333333334,63.07008333333333,68400.0
-130996528_0,0.0,0.0,65160.0
-130996528_0,0.0,0.0,65520.0
-130996528_0,0.0,0.0,65880.0
-130996528_0,0.0,0.0,66240.0
-130996528_0,0.0,0.0,66600.0
-130996528_0,0.0,0.0,66960.0
-130996528_0,0.0,0.0,67320.0
-130996528_0,0.0,0.0,67680.0
-130996528_0,0.0,0.0,68040.0
-130996528_0,0.0,0.0,68400.0
-130996529_0,0.0,0.0,65160.0
-130996529_0,0.0,0.0,65520.0
-130996529_0,0.0,0.0,65880.0
-130996529_0,0.0,0.0,66240.0
-130996529_0,0.0,0.0,66600.0
-130996529_0,0.0,0.0,66960.0
-130996529_0,0.0,0.0,67320.0
-130996529_0,0.0,0.0,67680.0
-130996529_0,0.0,0.0,68040.0
-130996529_0,0.0,0.0,68400.0
-131118454_0,0.0,0.0,65160.0
-131118454_0,0.0,0.0,65520.0
-131118454_0,0.0,0.0,65880.0
-131118454_0,0.0,0.0,66240.0
-131118454_0,0.0,0.0,66600.0
-131118454_0,0.0,0.0,66960.0
-131118454_0,21.5,6.000238095238095,67320.0
-131118454_0,0.0,0.0,67680.0
-131118454_0,0.0,0.0,68040.0
-131118454_0,0.0,0.0,68400.0
-131118459#0_0,0.0,0.0,65160.0
-131118459#0_0,0.0,0.0,65520.0
-131118459#0_0,0.0,0.0,65880.0
-131118459#0_0,0.0,0.0,66240.0
-131118459#0_0,0.0,0.0,66600.0
-131118459#0_0,0.0,0.0,66960.0
-131118459#0_0,6.666666666666667,4.25,67320.0
-131118459#0_0,22.02127659574468,4.883829787234043,67680.0
-131118459#0_0,0.0,0.0,68040.0
-131118459#0_0,0.0,0.0,68400.0
-131118464#0_0,0.0,0.0,65160.0
-131118464#0_0,0.0,0.0,65520.0
-131118464#0_0,0.0,0.0,65880.0
-131118464#0_0,0.0,0.0,66240.0
-131118464#0_0,0.0,0.0,66600.0
-131118464#0_0,0.0,0.0,66960.0
-131118464#0_0,0.0,0.0,67320.0
-131118464#0_0,0.0,0.0,67680.0
-131118464#0_0,0.0,0.0,68040.0
-131118464#0_0,0.0,0.0,68400.0
-131634117#1_0,0.0,0.0,65160.0
-131634117#1_0,0.0,0.0,65520.0
-131634117#1_0,0.0,0.0,65880.0
-131634117#1_0,0.0,0.0,66240.0
-131634117#1_0,0.0,0.0,66600.0
-131634117#1_0,0.0,0.0,66960.0
-131634117#1_0,0.0,0.0,67320.0
-131634117#1_0,0.0,0.0,67680.0
-131634117#1_0,0.0,0.0,68040.0
-131634117#1_0,0.0,0.0,68400.0
-131634134#0_0,5.5,5.106,65160.0
-131634134#0_0,0.0,0.0,65520.0
-131634134#0_0,5.885714285714286,3.936857142857143,65880.0
-131634134#0_0,5.0,4.191290322580645,66240.0
-131634134#0_0,6.821428571428571,4.737142857142857,66600.0
-131634134#0_0,1.0,3.42,66960.0
-131634134#0_0,5.9375,4.8525,67320.0
-131634134#0_0,4.955555555555556,4.362666666666667,67680.0
-131634134#0_0,0.0,0.0,68040.0
-131634134#0_0,1.2,3.062,68400.0
-131634134#1_0,0.0,0.0,65160.0
-131634134#1_0,0.0,0.0,65520.0
-131634134#1_0,0.0,0.0,65880.0
-131634134#1_0,0.0,0.0,66240.0
-131634134#1_0,0.0,0.0,66600.0
-131634134#1_0,2.142857142857143,3.5714285714285716,66960.0
-131634134#1_0,0.0,0.0,67320.0
-131634134#1_0,0.0,0.0,67680.0
-131634134#1_0,0.0,0.0,68040.0
-131634134#1_0,0.0,0.0,68400.0
-131634136_0,0.0,0.0,65160.0
-131634136_0,0.0,0.0,65520.0
-131634136_0,4.827586206896552,4.638275862068965,65880.0
-131634136_0,0.0,0.0,66240.0
-131634136_0,0.0,0.0,66600.0
-131634136_0,0.0,0.0,66960.0
